spot name,domain,count number for domain
the chipping forecast,chippingforecast.com,2
cowshed,cowshed.com,4
c london,crestaurant.co.uk,2
the breakfast club,thebreakfastclubcafes.com,5
blondies kitchen,blondieskitchen.co.uk,3
padella,padella.co,2
kaffeine,kaffeine.co.uk,2
l'eto caffe,letocaffe.co.uk,2
brunch & cake,brunchandcake.com,2
casa do frango,casadofrango.co.uk,2
oath pizza,oathpizza.com,6
be at one,beatone.co.uk,2
szimpla kert,szimpla.hu,2
ego,egorestaurants.co.uk,2
sofra,restoransofra.com,2
goodman,goodmanrestaurants.com,2
sticks'n'sushi canary wharf,sticksnsushi.com,2
fortnum & mason,fortnumandmason.com,2
subway,subway.co.uk,2
amorino,amorino.com,5
miscusi,miscusi.com,2
pix pintxos,pix-bar.com,3
wetherspoons,jdwetherspoon.com,3
t-mobile,t-mobile.pl,2
zelman meats,zelmanmeats.com,2
busaba eathai,busaba.com,11
bread ahead,breadahead.com,4
buddha bar,buddhabarlondon.com,2
frankies pizza,frankiespizza.dk,7
sugar factory,sugarfactory.com,2
hard rock cafe - park lane,hardrockcafe.com,2
coya,coyarestaurant.com,2
bleecker,bleeckerburger.co.uk,3
wingmans,wingmans.co.uk,2
the hoxton,thehoxton.com,8
bread street kitchen,gordonramsayrestaurants.com,2
eat tokyo,eattokyo.co.uk,3
koi,koirestaurant.com,2
yo! sushi,yosushi.com,3
melisi,melisi.co.uk,2
ottolenghi,ottolenghi.co.uk,4
turtle bay,turtlebay.co.uk,4
hakkasan,hakkasan.com,11
bar azita,barazita.co.uk,2
prawn on the lawn,prawnonthelawn.com,2
franco manca,francomanca.co.uk,13
wok to walk,woktowalk.com,2
roka,rokarestaurant.com,4
baoziinn,baoziinn.com,3
ella canta,ellacanta.com,2
daylesford organic,daylesford.com,4
milsoms,milsomhotels.com,2
yauatcha,yauatcha.com,2
london cocktail club,londoncocktailclub.co.uk,2
heartbreak hotel coffee,heartbreakhotelcoffee.com,2
ferdi,ferdi-restaurant.com,2
sticks’n’sushi - victoria,sticksnsushi.com,2
bunga bunga,bungabunga.com,2
petersham nurseries,petershamnurseries.com,2
cartems donuts,cartems.com,2
burger & beyond,burgerandbeyond.co.uk,2
heavenly desserts,heavenlydesserts.co.uk,3
los mochis,losmochis.co.uk,2
red's true barbecue,truebarbecue.com,2
melange,melangerestaurant.co.uk,2
café rouge,caferouge.co.uk,2
honest burgers,honestburgers.co.uk,6
santa nata,santanata.com,2
wfm coffee bar,wholefoodsmarket.com,5
le relais de venise l'entrecôte,relaisdevenise.com,2
market halls,markethalls.co.uk,3
beany green,daisygreenfood.com,2
flesh & buns,fleshandbuns.com,2
giggling squid,gigglingsquid.com,15
koya,koya.co.uk,2
beso beach,besobeach.com,2
dirty bones,dirty-bones.com,5
chucs,chucsrestaurants.com,2
spris pizza,sprispizza.com,2
the gate,thegaterestaurants.com,4
burger & lobster,burgerandlobster.com,19
buvette,ilovebuvette.com,2
kiyoto sushi,kiyotosushi.co.uk,2
barrafina,barrafina.co.uk,4
hotbox,hotboxlondon.co.uk,2
slim chickens,slimchickens.co.uk,2
wimpy,locations.wimpy.uk.com,4
the ampersand hotel,ampersandhotel.com,2
cabana,cabana-brasil.com,2
piccolino,piccolinorestaurants.com,5
boston tea party,bostonteaparty.co.uk,4
toby carvery,tobycarvery.co.uk,2
black tap craft burgers & shakes,blacktap.com,2
heartcore,heartcore.co.uk,7
the lunch box,thelunchbox.co.uk,3
taco mamacita,tacomamacita.com,2
lussmanns,lussmanns.com,4
tommi's burger joint,tommis.is,2
comptoir gourmand,comptoirgourmand.co.uk,2
kibou,kibou.co.uk,2
la petite maison,lpmrestaurants.com,2
six by nico,sixbynico.co.uk,3
bun house,bun.house,2
bubbleology,bubbleologyusa.com,2
gourmet burger kitchen,gbk.co.uk,2
saint espresso,saintespresso.com,2
carissa's the bakery,carissasthebakery.com,2
in-n-out burger,in-n-out.com,2
the coconut tree,thecoconut-tree.com,3
hubbox,hubbox.co.uk,2
atariya foods,atariya.co.uk,2
artist residence,artistresidence.co.uk,2
o'neill's,oneills.co.uk,2
four seasons,fs-restaurants.co.uk,3
kfc,kfc.co.uk,3
foot locker,stores.footlocker.dk,2
wright brothers,thewrightbrothers.co.uk,3
almost famous,almostfamousburgers.com,2
the espresso room,theespressoroom.london,2
dirty burger,eatdirtyburger.com,2
gusto,gustorestaurants.uk.com,11
the five fields,fivefieldsrestaurant.com,2
cosy club,cosyclub.co.uk,6
tapas brindisa,brindisakitchens.com,3
oowee vegan,ooweevegan.com,2
allegra,allegra-restaurant.com,2
osteria 16,osteria16.dk,2
oka,okarestaurant.co.uk,3
gasoline grill,gasolinegrill.com,4
ippudo,ippudo.co.uk,4
lou malnati's pizzeria,loumalnatis.com,2
gail's,gailsbread.co.uk,7
time out market,timeoutmarket.com,2
ole & steen,oleandsteen.co.uk,3
moomaid of zennor,moomaidofzennor.com,3
duke's grocery,dukesgrocery.com,2
yo! sushi,yosushi.me,2
tgi fridays,tgifridays.co.uk,3
brewdog,brewdog.com,2
cvi.che 105,ceviche105.com,3
balans,balans.co.uk,3
theo's,theospizzeria.com,2
bubbleology,bubbleology.co.uk,2
kricket,kricket.co.uk,3
the rib room,jumeirah.com,2
giordano's,giordanos.com,2
leon,leon.co,2
bill's,bills-website.co.uk,8
miller & carter,millerandcarter.co.uk,11
el&n,elnlondon.co.uk,6
pollo tropical,pollotropical.com,7
the botanist,thebotanist.uk.com,3
the alchemist,thealchemist.uk.com,4
coffee collective,coffeecollective.dk,2
kayal,kayalrestaurant.com,2
indian accent,indianaccent.com,3
bocconcino,bocconcinorestaurant.co.uk,2
7bone burger co.,7bone.co.uk,2
banana,bananacph.com,3
maze grill,gordonramsayrestaurants.com,2
kerb,kerbfood.com,3
côte,cote.co.uk,2
lowbrau,lowbrausacramento.com,2
chik'n,chikn.com,2
harrods,harrods.com,2
lantana,lantanacafe.co.uk,2
las iguanas,iguanas.co.uk,2
the salty donut,saltydonut.com,3
hoppers,hopperslondon.com,3
farm girl,thefarmgirl.co.uk,2
french connection,frenchconnection.com,6
fat hippo,fathippo.co.uk,3
natural history museum,nhm.ac.uk,2
gin & juice,ginandjuice.com,2
blacklock,theblacklock.com,3
coffee & thyme,coffeeandthyme.co,2
bocas grill,bocasgrill.com,3
topgolf,topgolf.com,2
yard sale pizza,yardsalepizza.com,5
martin's bbq,martinsbbqpr.net,2
fire wings,firewings.com,8
revolución de cuba,revoluciondecuba.com,2
purezza,purezza.co.uk,2
black tap,blacktap.ch,2
sticks'n'sushi covent garden,sticksnsushi.com,2
stk,stksteakhouse.com,3
forty hands,40handscoffee.com,2
burger king,burgerking.co.uk,2
zaza,zaza.co.uk,4
bulla gastrobar,bullagastrobar.com,7
söderberg,soderberg.uk,2
cambridge wine merchants,cambridgewine.com,2
brat,bratrestaurant.com,2
vinoteca,vinoteca.co.uk,2
rye bakery,rye-bakery.com,2
tonkotsu,tonkotsu.co.uk,10
taverna del marinaio,tavernadelmarinaio.com,2
omnino,omninorestaurants.com,2
wild bean cafe,bp.com,2
pancake pantry,pancakepantry.com,2
burgers and brew,burgersnbrew.com,2
nando's,nandos.co.uk,7
pastaio,pastaio.co.uk,2
big easy bar.b.q & crabshack,bigeasy.co.uk,3
department of coffee and social affairs,departmentofcoffee.com,2
wingstop,wingstop.co.uk,2
doughnut time,doughnuttime.co.uk,2
common grounds,commongroundsdubai.com,2
bánh bánh,banhbanh.com,2
musafir,musafir.com.ua,3
olive + squash,oliveandsquash.co.uk,2
marchesi 1824,pasticceriamarchesi.com,2
flax & kale,flaxandkale.com,2
vivat bacchus,vivatbacchus.co.uk,2
the hampstead butcher & providore,hampsteadbutcher.com,2
